"","Entry","From","Reviewed","Protein names","Gene Names","Annotation","Keywords","PubMed ID","Gene Names (ORF)","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","gene_locus","gene_name","SubtiCats","subti_func","UniKey"
"314","O31686","O31686","reviewed","Sporulation protein YkvU","ykvU BSU13830",1,"Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix","9384377; 12662922; 15292147","","bsu:BSU13830;","COG2244;","NP_389266.1;WP_003245552.1;","","","9775950at2;","PF01943;","IPR051327;IPR024923;IPR002797;","BSUB:BSU13830-MONOMER;","","BSU_13830","ykvU","55, 408","germination","sporulation"
"315","O31687","O31687","reviewed","Sporulation thiol-disulfide oxidoreductase A (Stage IV sporulation protein H)","stoA spoIVH BSU13840",3,"3D-structure;Disulfide bond;Membrane;Oxidoreductase;Redox-active center;Reference proteome;Signal;Sporulation","9384377; 15292147; 15342593; 15322369","","bsu:BSU13840;","COG0526;","NP_389267.1;WP_003245444.1;","","","25753at2;","PF00578;","IPR000866;IPR036249;IPR017937;IPR013766;IPR050553;","BSUB:BSU13840-MONOMER;","","BSU_13840","stoA","55, 399","sporulation","sporulation"
"316","O31700","O31700","reviewed","Sporulation protein cse15","cse15 yknT BSU14250",2,"Coiled coil;Reference proteome;Sporulation","8990290; 9384377","","bsu:BSU14250;","ENOG5030CEZ;","WP_003245018.1;","","","2938173at2;","","","BSUB:BSU14250-MONOMER;","","BSU_14250","yknT","441","sporulation","sporulation"
"317","O31725","O31725","reviewed","Probable sporulation protein YlmC","ylmC BSU15360",2,"Reference proteome;Sporulation","9384377; 23396918","","bsu:BSU15360;","COG1873;","NP_389419.1;WP_003232153.1;","","","6024937at2;","PF05239;","IPR027275;IPR011033;IPR014238;","BSUB:BSU15360-MONOMER;","","BSU_15360","ylmC","399","sporulation","sporulation"
"318","O31737","O31737","reviewed","Uncharacterized protein YlqB","ylqB BSU15960",2,"Direct protein sequencing;Reference proteome;Secreted;Signal","9384377; 10658653; 15033535","","bsu:BSU15960;","ENOG502ZJQW;","NP_389478.1;WP_003245834.1;","","","2586265at2;","","IPR008969;IPR013783;","BSUB:BSU15960-MONOMER;","","BSU_15960","sivC","52, 381, 402","sporulation","NA"
"319","O31762","O31762","reviewed","Bacillibactin exporter","ymfD ymfE BSU16825 BSU16820 BSU16830",2,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport","9384377; 19383706; 18502870","BSU16820 BSU16830","bsu:BSU16825;","COG2814;","","","","2986280at2;","PF07690;","IPR011701;IPR020846;IPR050189;IPR036259;IPR001958;","BSUB:BSU16825-MONOMER;","","BSU_16825","ymfD","55, 181, 206, 310, 400","sporulation","NA"
"320","O31768","O31768","reviewed","Uncharacterized protein YmfJ","ymfJ BSU16880",1,"Reference proteome","9384377","","bsu:BSU16880;","ENOG50330BT;","NP_389570.1;WP_003245199.1;","","","2382009at2;","PF11588;","IPR021637;IPR024702;IPR038292;","BSUB:BSU16880-MONOMER;","","BSU_16880","ymfJ","400","sporulation","NA"
"321","O31771","O31771","reviewed","Uncharacterized membrane protein YmfM","ymfM BSU16910",2,"Cell membrane;Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377; 19383706","","bsu:BSU16910;","COG1426;","","","","9797543at2;","PF13413;PF13464;","IPR050400;IPR010982;IPR025194;","BSUB:BSU16910-MONOMER;","","BSU_16910","rodZ","4, 55, 135","sporulation","NA"
"322","O31773","O31773","reviewed","Putative penicillin-binding protein PbpX","pbpX BSU16950",3,"Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix","9384377; 14762009; 15758244","","bsu:BSU16950;","COG1680;","NP_389577.1;WP_003245877.1;","","","9803467at2;","PF00144;","IPR050491;IPR001466;IPR012338;","BSUB:BSU16950-MONOMER;","",NA,NA,NA,NA,"sporulation"
"323","O31779","O31779","reviewed","Uncharacterized protein YmcA","ymcA BSU17020",2,"3D-structure;Reference proteome","9384377; 15175311","","bsu:BSU17020;","COG4550;","WP_003231834.1;","","","2167788at2;","PF06133;","IPR052767;IPR016783;IPR010368;IPR023378;","BSUB:BSU17020-MONOMER;","","BSU_17020","ricA","129, 131, 339, 374, 385, 394, 406","sporulation","NA"
"324","O31793","O31793","reviewed","Uncharacterized protein YmaG","ymaG BSU17310",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU17310;","","NP_389613.2;WP_003245252.1;","","","","","","BSUB:BSU17310-MONOMER;","","BSU_17310","ymaG","444","sporulation","NA"
"325","O31794","O31794","reviewed","Uncharacterized protein YmaF","ymaF BSU17320",1,"Reference proteome","9384377; 19383706","","bsu:BSU17320;","ENOG50344GQ;","NP_389614.2;WP_003231769.1;","","","2967209at2;","PF12788;","IPR024307;","BSUB:BSU17320-MONOMER;","","BSU_17320","gerY","408","germination","NA"
"326","O31802","O31802","reviewed","Uncharacterized protein YnzH","ynzH BSU17670",1,"Reference proteome","9384377","","bsu:BSU17670;","","","","","","","","BSUB:BSU17670-MONOMER;","","BSU_17670","cotU","445","sporulation","NA"
"327","O31805","O31805","reviewed","Uncharacterized protein YndA","yndA BSU17720",1,"Reference proteome;Signal","9384377","","bsu:BSU17720;","ENOG50323YG;","NP_389655.1;WP_009967329.1;","","","2912061at2;","","","BSUB:BSU17720-MONOMER;","","BSU_17720","yndA","399","sporulation","NA"
"328","O31807","O31807","reviewed","Uncharacterized protein YnzB","ynzB BSU17740",1,"Reference proteome","9384377; 19383706","","bsu:BSU17740;","","NP_389657.2;WP_003231626.1;","","","2906583at2;","","","BSUB:BSU17740-MONOMER;","","BSU_17740","ynzB","137","germination","NA"
"329","O31808","O31808","reviewed","Uncharacterized membrane protein YndD","yndD BSU17750",2,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU17750;","COG0697;","NP_389658.1;WP_003244930.1;","","","9772630at2;","PF03323;","IPR004995;IPR050768;","BSUB:BSU17750-MONOMER;","","BSU_17750","yndD","55, 137","germination","NA"
"330","O31809","O31809","reviewed","Spore germination protein YndE","yndE BSU17760",2,"Amino-acid transport;Cell membrane;Germination;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport","9384377; 10762253","","bsu:BSU17760;","COG0531;","NP_389659.1;WP_003231622.1;","","","2716906at2;","PF03845;","IPR004761;","BSUB:BSU17760-MONOMER;","","BSU_17760","yndE","55, 137, 427","germination","germination"
"331","O31810","O31810","reviewed","Spore germination protein YndF","yndF BSU17770",2,"Cell membrane;Germination;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal","9384377; 10762253","","bsu:BSU17770;","ENOG502Z8GN;","NP_389660.1;WP_003245832.1;","","","2569624at2;","PF05504;PF25198;","IPR008844;IPR046953;IPR038501;","BSUB:BSU17770-MONOMER;","","BSU_17770","yndF","55, 137","germination","germination"
"332","O31815","O31815","reviewed","UPF0714 protein YndL","yndL BSU17820",2,"3D-structure;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377; 16385044","","bsu:BSU17820;","COG4195;","","","","7721587at2;","PF05908;","IPR008585;IPR038128;","BSUB:BSU17820-MONOMER;","","BSU_17820","pghL","6, 55, 399","sporulation","NA"
"333","O31816","O31816","reviewed","Uncharacterized membrane protein YndM","yndM BSU17830",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU17830;","ENOG5032Z7G;","NP_389666.1;WP_003231606.1;","","","2111682at2;","PF10710;","IPR019649;","BSUB:BSU17830-MONOMER;","","BSU_17830","yndM","400","sporulation","NA"
"334","O31819","O31819","reviewed","Aspartyl-phosphate phosphatase YnzD (EC 3.1.3.-) (Stage 0 sporulation regulatory protein YnzD)","ynzD BSU17920",2,"Hydrolase;Reference proteome;Sporulation","9384377; 11679073","","bsu:BSU17920;","","WP_010886518.1;","","","2972613at2;","PF09388;","IPR036638;IPR018540;IPR053028;IPR037208;","BSUB:BSU17920-MONOMER;","","BSU_17920","ynzD","384, 405","sporulation","sporulation"
"335","O31824","O31824","reviewed","Oligoribonuclease NrnB (EC 3.1.-.-) (NanoRNase B)","nrnB yngD BSU18200",3,"Cytoplasm;Exonuclease;Hydrolase;Nuclease;Reference proteome","9384377; 19553197","","bsu:BSU18200;","COG2404;","NP_389702.1;WP_003245472.1;","","","2035301at2;","","IPR038763;IPR052968;","BSUB:BSU18200-MONOMER;","","BSU_18200","nrnB","335, 400","sporulation","NA"
"336","O31825","O31825","reviewed","Uncharacterized carboxylase YngE (EC 6.4.1.-)","yngE BSU18210",2,"ATP-binding;Ligase;Nucleotide-binding;Reference proteome","9384377; 19383706; 9387222","","bsu:BSU18210;","COG4799;","WP_003231527.1;","","","9803706at2;","PF01039;","IPR034733;IPR029045;IPR011763;IPR011762;IPR045190;","BSUB:BSU18210-MONOMER;","","BSU_18210","yngE","270, 399","sporulation","NA"
"337","O31826","O31826","reviewed","Putative acyl-CoA synthetase YngI (EC 6.2.1.-)","yngI BSU18250",2,"ATP-binding;Ligase;Nucleotide-binding;Reference proteome","9387222; 9384377","","bsu:BSU18250;","COG0318;","WP_003244755.1;","","","9803968at2;","PF00501;PF13193;","IPR025110;IPR045851;IPR020845;IPR000873;","BSUB:BSU18250-MONOMER;","","BSU_18250","yngI","270, 399","sporulation","NA"
"338","O31831","O31831","reviewed","Uncharacterized protein YoaQ","yoaQ BSU18700",1,"Reference proteome","9384377","","bsu:BSU18700;","ENOG5032XJY;","NP_389751.1;WP_009967392.1;","","","1456570at2;","","","BSUB:BSU18700-MONOMER;","","BSU_18700","yoaQ","400","sporulation","NA"
"339","O31832","O31832","reviewed","Uncharacterized protein YozF","yozF BSU18710",1,"Reference proteome;Signal","9384377; 19383706","","bsu:BSU18710;","ENOG5033IVQ;","NP_389752.2;WP_003231402.1;","","","337762at2;","","","BSUB:BSU18710-MONOMER;","","BSU_18710","yozF","400","sporulation","NA"
"340","O31846","O31846","reviewed","Uncharacterized protein YozN","yozN BSU19270",1,"Reference proteome","9384377","","bsu:BSU19270;","ENOG5033BND;","NP_389809.1;WP_004399338.1;","","","1809291at2;","","","BSUB:BSU19270-MONOMER;","","BSU_19270","yozN","400","sporulation","NA"
"341","O31854","O31854","reviewed","Cyclic di-AMP synthase CdaS (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)","cdaS dacB yojJ BSU19430",5,"ATP-binding;Coiled coil;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase","9384377; 19383706; 22211522; 22383849; 23192352; 24939848","","bsu:BSU19430;","COG1624;","NP_389825.3;WP_010886531.1;","","2.7.7.85;","9807385at2;","PF10372;PF02457;","IPR014046;IPR034693;IPR019457;IPR053472;IPR050338;IPR036888;IPR003390;","BSUB:BSU19430-MONOMER;","","BSU_19430","cdaS","85, 399","sporulation","NA"
"342","O31861","O31861","reviewed","Uncharacterized protein YojB","yojB BSU19510",1,"Membrane;Reference proteome;Transmembrane;Transmembrane helix","9734814; 9384377","","bsu:BSU19510;","","NP_389832.1;WP_004399366.1;","","","","","","BSUB:BSU19510-MONOMER;","","BSU_19510","yojB","55, 400","sporulation","NA"
"343","O31863","O31863","reviewed","Uncharacterized protein YozD","yozD BSU19660",1,"Reference proteome","9384377","","bsu:BSU19660;","ENOG502ZHTJ;","NP_389847.1;WP_003231166.1;","","","2971944at2;","PF14162;","IPR025545;","BSUB:BSU19660-MONOMER;","","BSU_19660","yozD","400","sporulation","NA"
"344","O31864","O31864","reviewed","UPF0346 protein YozE","yozE BSU19680",1,"3D-structure;Reference proteome","9384377","","bsu:BSU19680;","COG4479;","NP_389849.1;WP_003231160.1;","","","2242851at2;","PF06855;","IPR010673;IPR023089;IPR036806;","BSUB:BSU19680-MONOMER;","","BSU_19680","yozE","400","sporulation","NA"
"345","O31982","O31982","reviewed","N-acetylmuramoyl-L-alanine amidase BlyA (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)","blyA yomC BSU21410",3,"Cell wall biogenesis/degradation;Competence;Hydrolase;Reference proteome;Secreted;Sporulation","9579063; 9384377","","bsu:BSU21410;","COG5632;","NP_390024.1;WP_004399108.1;","","","9794294at2;","PF01510;","IPR036505;IPR002502;IPR051206;IPR003646;","BSUB:BSU21410-MONOMER;","",NA,NA,NA,NA,"sporulation"
"346","O32007","O32007","reviewed","Uncharacterized protein YpzA","ypzA BSU21950",1,"Reference proteome","9384377","","bsu:BSU21950;","","NP_390078.1;WP_004398863.1;","","","2933821at2;","PF10819;","IPR020314;","BSUB:BSU21950-MONOMER;","","BSU_21950","ypzA","399","sporulation","NA"
"347","O32012","O32012","reviewed","Uncharacterized protein YpzC","ypzC BSU23320",1,"Reference proteome","9384377","","bsu:BSU23320;","","NP_390213.1;WP_010886560.1;","","","9862616at2;","","","BSUB:BSU23320-MONOMER;","","BSU_23320","ypzC","400","sporulation","NA"
"348","O32013","O32013","reviewed","Spore germination protein-like protein YpzD","ypzD BSU23350",1,"Reference proteome","9384377","","bsu:BSU23350;","","NP_390216.1;WP_003230479.1;","","","2935994at2;","PF10676;","IPR019618;","BSUB:BSU23350-MONOMER;","","BSU_23350","ypzD","400","sporulation","NA"
"349","O32019","O32019","reviewed","Uncharacterized protein YqzG","yqzG BSU24650",1,"3D-structure;Reference proteome;Signal","9384377","","bsu:BSU24650;","ENOG50307UH;","NP_390345.1;WP_003246051.1;","","","2377048at2;","PF13028;","IPR024987;","BSUB:BSU24650-MONOMER;","","BSU_24650","yqzG","399","sporulation","NA"
"350","O32020","O32020","reviewed","Uncharacterized protein YqzE","yqzE BSU24660",1,"Reference proteome","9384377; 19383706","","bsu:BSU24660;","ENOG5033ENU;","WP_003230176.1;","","","","PF14038;","IPR025622;","BSUB:BSU24660-MONOMER;","","BSU_24660","spoIIIL","135","sporulation","NA"
"351","O32025","O32025","reviewed","Phosphatase RapE inhibitor (Phosphatase regulator E)","phrE BSU25840",3,"3D-structure;Cytoplasm;Reference proteome;Secreted;Sporulation","9384377; 10629174; 12897006","","bsu:BSU25840;","","NP_390461.1;WP_004398770.1;","","","2905397at2;","","","BSUB:BSU25840-MONOMER;","","BSU_25840","phrE","121, 158, 385, 406, 434, 451","sporulation","sporulation"
"352","O32030","O32030","reviewed","Uncharacterized protein YrzA","yrzA BSU27290",1,"Coiled coil;Reference proteome","9384377","","bsu:BSU27290;","ENOG50331G7;","NP_390607.1;WP_009967883.1;","","","2454327at2;","PF10750;","IPR019686;","BSUB:BSU27290-MONOMER;","","BSU_27290","yrzA","400","sporulation","NA"
"353","O32031","O32031","reviewed","Uncharacterized membrane protein YrrS","yrrS BSU27300",2,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU27300;","ENOG5032DEE;","NP_390608.1;WP_003246156.1;","","","2168558at2;","PF07423;","IPR009988;","BSUB:BSU27300-MONOMER;","","BSU_27300","yrrS","169, 399","sporulation","NA"
"354","O32032","O32032","reviewed","Penicillin-binding protein 4B (PBP-4B) (PBP4b) (EC 3.4.16.4) (Penicillin-binding protein I)","pbpI yrrR BSU27310",4,"Carboxypeptidase;Cell cycle;Cell division;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Signal-anchor;Sporulation;Transmembrane;Transmembrane helix","9384377; 14679248","","bsu:BSU27310;","COG0768;","NP_390609.1;WP_004398903.1;","","","2985542at2;","PF03717;PF00905;","IPR050515;IPR012338;IPR005311;IPR036138;IPR001460;","BSUB:BSU27310-MONOMER;","UPA00219;","BSU_27310","pbpI","16, 55, 399","sporulation","sporulation"
"355","O32040","O32040","reviewed","Uncharacterized protein YrzK","yrzK BSU27570",1,"Reference proteome","9384377","","bsu:BSU27570;","","NP_390635.1;WP_004399157.1;","","","2891857at2;","PF17449;","IPR035378;","BSUB:BSU27570-MONOMER;","","BSU_27570","yrzK","400","sporulation","NA"
"356","O32050","O32050","reviewed","UPF0702 transmembrane protein YrbG","yrbG BSU27680",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU27680;","COG2323;","NP_390646.1;WP_004398801.1;","","","1682423at2;","PF04239;","IPR007353;IPR023090;","BSUB:BSU27680-MONOMER;","","BSU_27680","yrbG","55, 400","sporulation","NA"
"357","O32051","O32051","reviewed","Uncharacterized membrane protein YrzE","yrzE BSU27690",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU27690;","ENOG5033314;","NP_390647.1;WP_003229729.1;","","","2988991at2;","PF12670;","IPR023804;","BSUB:BSU27690-MONOMER;","","BSU_27690","yrzE","400","sporulation","NA"
"358","O32060","O32060","reviewed","Putative sodium/proton-dependent alanine carrier protein YrbD","yrbD BSU27810",2,"Amino-acid transport;Cell membrane;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Symport;Transmembrane;Transmembrane helix;Transport","9384377; 19383706","","bsu:BSU27810;","COG1115;","WP_004398698.1;","","","9804874at2;","PF01235;","IPR001463;","BSUB:BSU27810-MONOMER;","","BSU_27810","yrbD","259, 268, 400, 426","sporulation","NA"
"359","O32062","O32062","reviewed","SpoIVD-associated factor A (Morphogenetic protein SafA)","safA yrbA BSU27840",3,"Direct protein sequencing;Reference proteome;Sporulation","9770294; 9384377; 10438771; 10714986","","bsu:BSU27840;","COG1388;","NP_390662.1;WP_003229695.1;","","","2033517at2;","PF01476;","IPR018392;IPR036779;IPR014248;","BSUB:BSU27840-MONOMER;","","BSU_27840","safA","446","sporulation","sporulation"
"360","O32066","O32066","reviewed","Uncharacterized protein YtzH","ytzH BSU29910",1,"Reference proteome","9384377","","bsu:BSU29910;","ENOG5032YZY;","NP_390869.1;WP_003237926.1;","","","2968867at2;","PF14165;","IPR025547;","BSUB:BSU29910-MONOMER;","","BSU_29910","ytzH","400","sporulation","NA"
"361","O32073","O32073","reviewed","Uncharacterized protein YtzC","ytzC BSU30470",1,"Coiled coil;Reference proteome","9384377","","bsu:BSU30470;","ENOG50306TD;","NP_390925.1;WP_003229117.1;","","","2970872at2;","PF10732;","IPR019668;","BSUB:BSU30470-MONOMER;","","BSU_30470","ytzC","400","sporulation","NA"
"362","O32076","O32076","reviewed","Flotillin-like protein FloT (Bacterial flotillin homolog YuaG)","floT yuaG yuaH BSU31010",5,"Cell membrane;Cell shape;Membrane;Reference proteome;Repeat","9384377; 19383680; 20713508; 22753055; 22882210; 23249255; 23651456; 24222488; 26842743; 25635948; 25909364; 26297017; 27362352; 32662773","","bsu:BSU31010;","COG2268;","NP_390979.1;WP_003228960.1;","","","9786220at2;","PF01145;PF15975;","IPR001107;IPR036013;IPR031905;IPR027705;","BSUB:BSU31010-MONOMER;","","BSU_31010","floT","9, 55, 129, 135, 148, 394","sporulation","NA"
"363","O32085","O32085","reviewed","Cysteine dioxygenase (CDO) (EC 1.13.11.20)","cdoA yubC BSU31140",3,"3D-structure;Dioxygenase;Iron;Metal-binding;Oxidoreductase;Reference proteome","9384377; 16855246; 25307852","","bsu:BSU31140;","COG5553;","NP_390992.1;WP_003243534.1;","","1.13.11.20;","7059163at2;","PF05995;","IPR010300;IPR014710;IPR011051;","BSUB:BSU31140-MONOMER;","","BSU_31140","cdoA","400, 449","sporulation","NA"
"364","O32087","O32087","reviewed","Uncharacterized membrane protein YuzA","yuzA BSU31380",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU31380;","COG2155;","NP_391016.1;WP_003220771.1;","","","9812136at2;","PF04070;","IPR007211;","BSUB:BSU31380-MONOMER;","","BSU_31380","yuzA","138, 399","sporulation","NA"
"365","O32089","O32089","reviewed","Uncharacterized protein YuzC","yuzC BSU31730",1,"Reference proteome","9384377; 19383706","","bsu:BSU31730;","","WP_003243784.1;","","","2615349at2;","","IPR016559;","BSUB:BSU31730-MONOMER;","","BSU_31730","yuzC","440","sporulation","NA"
"366","O32094","O32094","reviewed","Spore germination protein-like protein YueG","yueG BSU31790",1,"Reference proteome","9384377","","bsu:BSU31790;","ENOG5031HQV;","NP_391057.1;WP_003242933.1;","","","2382149at2;","PF10676;","IPR019618;","BSUB:BSU31790-MONOMER;","","BSU_31790","yueG","400","sporulation","NA"
"367","O32096","O32096","reviewed","Uncharacterized protein YuzE","yuzE BSU31810",1,"Reference proteome","9384377","","bsu:BSU31810;","ENOG5030DFU;","NP_391059.1;WP_003243066.1;","","","2890093at2;","PF10049;","IPR019270;IPR016789;","BSUB:BSU31810-MONOMER;","","BSU_31810","yuzE","400","sporulation","NA"
"368","O32097","O32097","reviewed","Uncharacterized protein YuzF","yuzF BSU31820",1,"Reference proteome","9384377","","bsu:BSU31820;","","NP_391060.1;WP_003220677.1;","","","2439488at2;","PF10842;","IPR020139;","BSUB:BSU31820-MONOMER;","","BSU_31820","yuzF","400","sporulation","NA"
"369","O32108","O32108","reviewed","Uncharacterized protein YuiC","yuiC BSU32070",2,"3D-structure;Reference proteome;Signal","9384377","","bsu:BSU32070;","COG3584;","WP_009969090.1;","","","9798935at2;","PF06725;","IPR010611;IPR051933;IPR036908;","BSUB:BSU32070-MONOMER;","","BSU_32070","yuiC","8, 399","sporulation","NA"
"370","O32123","O32123","reviewed","Endospore coat-associated protein YutH","yutH BSU32270",2,"Membrane;Reference proteome;Sporulation","9384377; 15231775","","bsu:BSU32270;","COG2334;","","","","2986702at2;","","IPR047175;IPR011009;IPR014254;","BSUB:BSU32270-MONOMER;","","BSU_32270","yutH","55, 442","sporulation","sporulation"
"371","O32124","O32124","reviewed","Uncharacterized protein YutG","yutG BSU32280",1,"Reference proteome","9384377","","bsu:BSU32280;","COG1267;","NP_391108.1;WP_003243814.1;","","","9793244at2;","PF04608;","IPR036681;IPR026038;IPR007686;","BSUB:BSU32280-MONOMER;","","BSU_32280","yutG","400","sporulation","NA"
"372","O32128","O32128","reviewed","Uncharacterized lipoprotein YutC","yutC BSU32320",2,"Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal","9384377","","bsu:BSU32320;","ENOG5033B6Q;","NP_391112.1;WP_003243821.1;","","","2691390at2;","PF09580;","IPR019076;","BSUB:BSU32320-MONOMER;","","BSU_32320","yutC","400","sporulation","NA"
"373","O32130","O32130","reviewed","L-Ala--D-Glu endopeptidase (EC 3.4.-.-) (Peptidoglycan hydrolase) (Sporulation-specific endopeptidase)","lytH yunA yutA BSU32340",3,"Cell cycle;Cell wall biogenesis/degradation;Differentiation;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Sporulation;Zinc","9384377; 12813075","","bsu:BSU32340;","COG0739;","NP_391114.2;WP_003243462.1;","","","9810477at2;","PF01551;","IPR050570;IPR011055;IPR016047;","BSUB:BSU32340-MONOMER;","","BSU_32340","lytH","7, 21, 399","sporulation","sporulation"
"374","O32131","O32131","reviewed","Sporulation protein YunB","yunB BSU32350",2,"Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix","9384377; 12662922","","bsu:BSU32350;","ENOG5031XUS;","WP_009968113.1;","","","1649278at2;","PF09560;","IPR014197;","BSUB:BSU32350-MONOMER;","","BSU_32350","fisB","9, 55, 399","sporulation","sporulation"
"375","O32132","O32132","reviewed","Uncharacterized protein YunC","yunC BSU32360",1,"Reference proteome","9384377","","bsu:BSU32360;","COG3377;","NP_391116.1;WP_003242587.1;","","","2641826at2;","PF08827;","IPR014931;IPR036493;","BSUB:BSU32360-MONOMER;","","BSU_32360","yunC","400","sporulation","NA"
"376","O32160","O32160","reviewed","Uncharacterized protein YurS","yurS BSU32650",1,"Reference proteome","9384377","","bsu:BSU32650;","ENOG5033JWA;","NP_391144.1;WP_003243521.1;","","","2881225at2;","","","BSUB:BSU32650-MONOMER;","","BSU_32650","yurS","399","sporulation","NA"
"377","O32166","O32166","reviewed","Uncharacterized protein YurZ","yurZ BSU32720",1,"Reference proteome","9384377","","bsu:BSU32720;","COG0599;","NP_391151.1;WP_003228596.1;","","","1683318at2;","PF02627;","IPR029032;IPR003779;","BSUB:BSU32720-MONOMER;","","BSU_32720","yurZ","400","sporulation","NA"
"378","O32179","O32179","reviewed","Proline dehydrogenase 1 (PRODH 1) (EC 1.5.5.2) (Proline oxidase 1)","fadM yusM BSU32850",3,"FAD;Flavoprotein;Nucleotide-binding;Oxidoreductase;Proline metabolism;Reference proteome","9384377; 17189250","","bsu:BSU32850;","COG0506;","WP_003228569.1;","","","9773461at2;","PF01619;","IPR029041;IPR008219;IPR002872;IPR015659;","BSUB:BSU32850-MONOMER;","UPA00261;","BSU_32850","fadM","278, 400","sporulation","NA"
"379","O32180","O32180","reviewed","Uncharacterized protein YusN","yusN BSU32860",1,"Reference proteome","9384377","","bsu:BSU32860;","COG5577;","NP_391165.1;WP_003228564.1;","","","1647790at2;","PF07875;","IPR012851;","BSUB:BSU32860-MONOMER;","","BSU_32860","yusN","399","sporulation","NA"
"380","O32189","O32189","reviewed","Uncharacterized protein YusW","yusW BSU32950",1,"Coiled coil;Reference proteome;Signal","9384377","","bsu:BSU32950;","","WP_003228545.1;","","","2855966at2;","PF14039;","IPR025623;","BSUB:BSU32950-MONOMER;","","BSU_32950","yusW","400","sporulation","NA"
"381","O32217","O32217","reviewed","Disulfide bond formation protein C (Disulfide oxidoreductase C) (Thiol-disulfide oxidoreductase C)","bdbC yvgU BSU33470",4,"Cell membrane;Chaperone;Competence;Disulfide bond;Electron transport;Membrane;Oxidoreductase;Redox-active center;Reference proteome;Transmembrane;Transmembrane helix;Transport","9384377; 10455116; 11844773; 11744713; 11872755; 20713508","","bsu:BSU33470;","COG1495;","NP_391227.1;WP_003228417.1;","","","158402at2;","PF02600;","IPR003752;IPR012187;IPR023380;","BSUB:BSU33470-MONOMER;","","BSU_33470","bdbC","55, 99, 108, 130, 399","sporulation","NA"
"382","O32218","O32218","reviewed","Disulfide bond formation protein D (Disulfide oxidoreductase D) (Thiol-disulfide oxidoreductase D)","bdbD yvgV BSU33480",4,"3D-structure;Cell membrane;Competence;Disulfide bond;Membrane;Oxidoreductase;Redox-active center;Reference proteome;Signal","9384377; 11844773; 11744713; 20713508; 22882210","","bsu:BSU33480;","COG1651;","NP_391228.1;WP_003228414.1;","","","117402at2;","PF13462;","IPR012336;IPR036249;IPR013766;","BSUB:BSU33480-MONOMER;","","BSU_33480","bdbD","55, 99, 108, 130, 399","sporulation","NA"
"383","O32224","O32224","reviewed","FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)","azoR2 yvaB BSU33540",5,"Aromatic hydrocarbons catabolism;Detoxification;Direct protein sequencing;Flavoprotein;FMN;NAD;Oxidoreductase;Reference proteome","9384377; 17284825; 17725564; 18208493","","bsu:BSU33540;","COG1182;","WP_003243587.1;","","","9805013at2;","PF02525;","IPR003680;IPR029039;IPR050104;IPR023048;","BSUB:BSU33540-MONOMER;","","BSU_33540","azoR2","154, 399","sporulation","NA"
"384","O32225","O32225","reviewed","Uncharacterized membrane protein YvaC","yvaC BSU33550",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU33550;","COG1289;","NP_391235.1;WP_003243180.1;","","","581879at2;","PF13515;","IPR049453;","BSUB:BSU33550-MONOMER;","","BSU_33550","yvaC","400","sporulation","NA"
